ID,ACTION,IS_DELETED
2279779,Client Visit,FALSE
2279780,Client Visit,FALSE
2279781,Client Visit,FALSE
2279782,Client Visit,FALSE
2279783,Client Visit,FALSE
2279784,Client Visit,FALSE
2279785,Client Visit,FALSE
2279786,Client Visit,FALSE
2279787,Client Visit,FALSE
2279788,Client Visit,FALSE
2279789,Client Visit,FALSE
2279790,Client Visit,FALSE
2279791,Client Visit,FALSE
2279792,Client Visit,FALSE
2279793,Client Visit,FALSE
2279794,Client Visit,FALSE
2279795,Client Visit,FALSE
2279796,Client Visit,FALSE
2279797,Client Visit,FALSE
2279798,Client Visit,FALSE
2279799,Client Visit,FALSE
2279800,Client Visit,FALSE
2279801,Client Visit,FALSE
2279802,Client Visit,FALSE
2279803,Client Visit,FALSE
2279804,Client Visit,FALSE
2279805,Client Visit,FALSE
2279806,Client Visit,FALSE
2279807,Client Visit,FALSE
2279808,Client Visit,FALSE
2279809,Client Visit,FALSE
2279810,Client Visit,FALSE
2279811,Client Visit,FALSE
2279812,Client Visit,FALSE
2279813,Client Visit,FALSE
2279814,Client Visit,FALSE
2279815,Client Visit,FALSE
2279816,Client Visit,FALSE
2279817,Client Visit,FALSE
2279818,Client Visit,FALSE
2279819,Client Visit,FALSE
2279820,Client Visit,FALSE
2279821,Client Visit,FALSE
2279822,Client Visit,FALSE
2279823,Client Visit,FALSE
2279824,Client Visit,FALSE
2279825,Client Visit,FALSE
2279826,Client Visit,FALSE
2279827,Client Visit,FALSE
2279828,Client Visit,FALSE
2279829,Client Visit,FALSE
2279830,Client Visit,FALSE
2279831,Client Visit,FALSE
2279832,Client Visit,FALSE
2279833,Client Visit,FALSE
2279834,Client Visit,FALSE
2279835,Client Visit,FALSE
2279836,Client Visit,FALSE
2279837,Client Visit,FALSE
2279838,Client Visit,FALSE
2279839,Client Visit,FALSE
2279840,Client Visit,FALSE
2279841,Client Visit,FALSE
2279842,Client Visit,FALSE
2279843,Client Visit,FALSE
2279844,Client Visit,FALSE
2279845,Client Visit,FALSE
2279846,Client Visit,FALSE
2279847,Client Visit,FALSE
2279848,Client Visit,FALSE
2279849,Client Visit,FALSE
2279850,Client Visit,FALSE
2279851,Client Visit,FALSE
2279852,Client Visit,FALSE
2279853,Client Visit,FALSE
2279854,Client Visit,FALSE
2279855,Client Visit,FALSE
2279856,Client Visit,FALSE
2279857,Client Visit,FALSE
2279858,Client Visit,FALSE
2279859,Client Visit,FALSE
2279860,Client Visit,FALSE
2279861,Client Visit,FALSE
2279862,Client Visit,FALSE
2279863,Client Visit,FALSE
2279864,Client Visit,FALSE
2279865,Client Visit,FALSE
2279866,Client Visit,FALSE
2279867,Client Visit,FALSE
2279868,Client Visit,FALSE
2279869,Client Visit,FALSE
2279870,Client Visit,FALSE
2279871,Client Visit,FALSE
2279872,Client Visit,FALSE
2279873,Client Visit,FALSE
2279874,Client Visit,FALSE
2279875,Client Visit,FALSE
2279876,Client Visit,FALSE
2279877,Client Visit,FALSE
2324707,Client Visit,FALSE
2348183,Client Visit,FALSE
2348184,Client Visit,FALSE
2348185,Client Visit,FALSE
2348187,Client Visit,FALSE
2351128,Client Visit,FALSE
2357196,Client Visit,FALSE
2384738,Client Visit,FALSE
2432054,Client Visit,FALSE
2437485,Client Visit,FALSE
2438478,Client Visit,FALSE
2442278,Client Visit,FALSE
2443564,Client Visit,FALSE
2451022,Client Visit,FALSE
2453594,Client Visit,FALSE
2462861,Client Visit,FALSE
2471569,Client Visit,FALSE
2473914,Client Visit,FALSE
2474276,Client Visit,FALSE
2474280,Client Visit,FALSE
2474655,Client Visit,FALSE
2475824,Client Visit,FALSE
2477195,Client Visit,FALSE
2482265,Client Visit,FALSE
2482722,Client Visit,FALSE
2514960,Client Visit,FALSE
2574724,Client Visit,FALSE
2578185,Client Visit,FALSE
2589379,Client Visit,FALSE
2589954,Client Visit,FALSE
2591508,Client Visit,FALSE
2591519,Client Visit,FALSE
2594720,Client Visit,FALSE
2594722,Client Visit,FALSE
2594734,Client Visit,FALSE
2596285,Client Visit,FALSE
2596333,Client Visit,FALSE
2596832,Client Visit,FALSE
2599936,Client Visit,FALSE
2600255,Client Visit,FALSE
2601776,Client Visit,FALSE
2601783,Client Visit,FALSE
2601917,Client Visit,FALSE
2601968,Client Visit,FALSE
2602120,Client Visit,FALSE
2602154,Client Visit,FALSE
2602814,Client Visit,FALSE
2603251,Client Visit,FALSE
2604046,Client Visit,FALSE
2604091,Client Visit,FALSE
2604537,Client Visit,FALSE
2604570,Client Visit,FALSE
2604580,Client Visit,FALSE
2604745,Client Visit,FALSE
2606512,Client Visit,FALSE
2606844,Client Visit,FALSE
2607289,Client Visit,FALSE
2608304,Client Visit,FALSE
2608817,Client Visit,FALSE
2609126,Client Visit,FALSE
2609128,Client Visit,FALSE
2609129,Client Visit,FALSE
2609140,Client Visit,FALSE
2609143,Client Visit,FALSE
2609149,Client Visit,FALSE
2609166,Client Visit,FALSE
2609169,Client Visit,FALSE
2609172,Client Visit,FALSE
2611466,Client Visit,FALSE
2611859,Client Visit,FALSE
2611862,Client Visit,FALSE
2611869,Client Visit,FALSE
2611870,Client Visit,FALSE
2612720,Client Visit,FALSE
2613258,Client Visit,FALSE
2613395,Client Visit,FALSE
2613433,Client Visit,FALSE
2613767,Client Visit,FALSE
2613768,Client Visit,FALSE
2613769,Client Visit,FALSE
2613770,Client Visit,FALSE
2613771,Client Visit,FALSE
