DATE_ADDED_HR,ID
2023-09-15T19:51:53.097Z,5967274
2023-09-15T19:26:29.993Z,5967849
2023-09-15T19:25:33.527Z,5967884
2023-09-14T19:10:40.217Z,5967300
2023-09-14T17:08:14.31Z,5186067
2023-09-14T17:07:06.147Z,5242655
2023-09-14T14:01:05.3Z,5823904
2023-09-13T20:56:57.537Z,5126550
2023-09-13T19:48:28.553Z,5662690
2023-09-13T19:34:12.56Z,5171463
2023-09-13T19:26:01.807Z,5966741
2023-09-13T18:57:05.627Z,5159335
2023-09-13T18:04:14.757Z,5882987
2023-09-13T14:18:53.743Z,5966449
2023-09-12T21:34:17.477Z,5653205
2023-09-12T20:34:35.677Z,5882427
2023-09-12T20:31:43.087Z,5711273
2023-09-12T19:38:26.067Z,5178711
2023-09-12T19:31:01.593Z,5684864
2023-09-12T19:04:50.317Z,5966076
2023-09-12T18:47:16.307Z,5966057
2023-09-12T18:29:13.1Z,5965973
2023-09-12T18:27:11.93Z,5965546
2023-09-12T16:00:56.76Z,5965893
2023-09-12T14:44:47.613Z,5965888
2023-09-12T13:58:14.577Z,5920766
2023-09-12T13:56:11.577Z,5598331
2023-09-12T13:54:28.707Z,5901479
2023-09-12T13:53:46.35Z,5187267
2023-09-12T13:53:36.097Z,5965722
2023-09-11T21:39:09.093Z,5965758
2023-09-11T20:32:57.247Z,5133942
2023-09-11T20:25:46.657Z,5965670
2023-09-11T19:49:17.69Z,5572095
2023-09-11T19:41:32.343Z,5965627
2023-09-11T17:42:51.71Z,5965506
2023-09-11T13:21:56.787Z,5896847
