TO_TIMESTAMP(DATE_ADDED/1000),ID
2023-09-17T23:55:21.74Z,5968025
2023-09-17T23:39:15.633Z,5968022
2023-09-17T23:29:09.923Z,5968021
2023-09-17T23:27:13.597Z,5968020
2023-09-17T23:26:24.703Z,5968019
2023-09-17T23:23:31.847Z,5968018
2023-09-17T23:14:33.47Z,5968015
2023-09-17T23:09:29.167Z,5968012
2023-09-17T23:07:53.26Z,5968011
2023-09-17T22:55:18.667Z,5968010
2023-09-17T22:20:53.583Z,5968008
2023-09-17T22:03:57.873Z,5967552
2023-09-17T22:03:12.727Z,5968006
2023-09-17T21:30:51.88Z,5968005
2023-09-17T20:11:16.713Z,5968002
2023-09-17T20:05:29.227Z,5968001
2023-09-17T20:01:03.537Z,5968000
2023-09-17T19:47:30.58Z,5967999
2023-09-17T19:41:08.777Z,5967998
2023-09-17T19:31:42.963Z,5967996
2023-09-17T19:23:20.293Z,5966898
2023-09-17T19:19:16.717Z,5967995
2023-09-17T19:01:49.167Z,5967993
2023-09-17T18:55:49.693Z,5967992
2023-09-17T18:46:55.64Z,5966687
2023-09-16T21:17:37.433Z,5966347
2023-09-16T20:55:45.593Z,5967991
2023-09-16T20:48:28.43Z,5967989
2023-09-16T20:33:44.81Z,5967987
2023-09-16T20:19:27.633Z,5967985
2023-09-16T20:13:25.88Z,5903255
2023-09-15T21:59:06.2Z,5967983
2023-09-15T21:48:35.387Z,5967979
2023-09-15T21:45:00.857Z,5858851
2023-09-15T21:42:36.337Z,5967978
2023-09-15T21:21:08.317Z,5967973
2023-09-15T21:14:10.02Z,5967972
2023-09-15T20:31:45.327Z,5967957
2023-09-15T20:04:26.693Z,5966339
2023-09-15T20:02:27.443Z,5967949
2023-09-15T19:02:28.713Z,5967914
2023-09-15T18:30:01.237Z,5967892
2023-09-15T18:10:23.643Z,5967871
2023-09-15T17:47:47.603Z,5967843
2023-09-15T17:13:48.8Z,5967816
2023-09-15T15:25:58.75Z,5967714
2023-09-15T14:51:07.133Z,5967675
2023-09-15T14:51:07.103Z,5967665
2023-09-15T14:51:07.097Z,5967681
2023-09-15T14:14:37.897Z,5967638
2023-09-15T14:03:23.993Z,5967618
2023-09-15T13:51:13.127Z,5967600
2023-09-15T13:37:17.427Z,5797328
2023-09-15T13:06:27.073Z,5967574
2023-09-15T04:45:26.707Z,5967563
2023-09-15T04:40:50.293Z,5967561
2023-09-15T04:36:40.753Z,5967560
2023-09-15T04:31:55.613Z,5967559
2023-09-15T04:18:20.76Z,5967558
2023-09-15T04:11:58.42Z,5967557
2023-09-15T04:04:26.32Z,5967555
2023-09-15T04:00:32.087Z,5967548
2023-09-15T03:59:53.343Z,5967554
2023-09-15T03:55:17.317Z,5967551
2023-09-15T03:49:52.917Z,5967547
2023-09-15T03:42:22.597Z,5967545
2023-09-15T03:42:12.3Z,5967544
2023-09-15T03:37:53.893Z,5967542
2023-09-15T03:36:12.323Z,5967540
2023-09-15T03:33:55.887Z,5966895
2023-09-15T03:31:40.87Z,5967539
2023-09-15T03:27:05.627Z,5967537
2023-09-15T03:24:20.593Z,5967536
2023-09-15T03:18:06.64Z,5967535
2023-09-15T03:09:21.29Z,5967529
2023-09-15T03:01:19.767Z,5967525
2023-09-15T02:55:07.72Z,5967523
2023-09-15T02:47:45.973Z,5967521
2023-09-15T02:47:24.467Z,5967522
2023-09-15T02:40:04.91Z,5967517
2023-09-15T02:37:52.733Z,5967513
2023-09-15T02:37:17.557Z,5967515
2023-09-15T02:23:32.987Z,5967511
2023-09-15T02:18:42.413Z,5967508
2023-09-15T02:15:55.713Z,5967507
2023-09-14T22:00:49.007Z,5914449
2023-09-14T21:42:21.17Z,5958270
2023-09-14T18:22:53.567Z,5967252
2023-09-13T14:55:58.317Z,5966487
2023-09-13T14:22:40.85Z,5966443
2023-09-13T14:22:40.82Z,5966448
2023-09-13T06:29:21.053Z,5966386
2023-09-13T06:16:10.897Z,5966384
2023-09-13T06:03:39.35Z,5966382
2023-09-13T05:58:06.78Z,5966381
2023-09-13T05:53:04.42Z,5966380
2023-09-13T05:48:57.227Z,5966379
2023-09-13T05:45:52.77Z,5966374
2023-09-13T05:45:02.227Z,5966375
2023-09-13T05:38:56.48Z,5966369
2023-09-13T05:34:11.19Z,5966368
2023-09-13T05:33:01.23Z,5966367
2023-09-13T05:31:52.017Z,5966365
2023-09-13T05:31:10.44Z,5966366
2023-09-13T05:27:30.69Z,5966361
2023-09-13T05:27:19.517Z,5966359
2023-09-13T05:26:30.627Z,5966362
2023-09-13T05:19:52.19Z,5966358
2023-09-13T05:19:10.44Z,5966356
2023-09-13T05:14:23.203Z,5966355
2023-09-13T05:10:03.877Z,5966354
2023-09-13T05:09:41.197Z,5966353
2023-09-13T05:06:08.087Z,5966351
2023-09-13T05:04:16.673Z,5966352
2023-09-13T04:59:03.303Z,5966349
2023-09-13T04:50:43.847Z,5966347
2023-09-13T04:49:12.047Z,5966344
2023-09-13T04:48:58.56Z,5966346
2023-09-13T04:44:04.157Z,5966343
2023-09-13T04:42:18.397Z,5966341
2023-09-13T04:40:10.95Z,5966339
2023-09-13T04:40:04.747Z,5966340
2023-09-13T04:37:29.51Z,5966338
2023-09-13T04:34:04.327Z,5966336
2023-09-13T04:27:44.573Z,5966335
2023-09-13T04:27:37.627Z,5966331
2023-09-13T04:26:15.867Z,5966333
2023-09-13T04:25:54.947Z,5966334
2023-09-13T04:24:14.303Z,5966330
2023-09-13T04:22:57.873Z,5966328
2023-09-13T04:13:55.947Z,5966326
2023-09-13T04:12:27.973Z,5966323
2023-09-13T04:09:57.973Z,5966325
2023-09-13T04:08:20.413Z,5966322
2023-09-13T04:05:14.633Z,5966324
2023-09-13T04:04:16.253Z,5966321
2023-09-13T04:02:52.55Z,5966319
2023-09-13T03:59:28.12Z,5966318
2023-09-13T03:53:46.487Z,5966202
2023-09-13T03:53:02.847Z,5966316
2023-09-13T03:50:45.393Z,5966315
2023-09-13T03:45:28.58Z,5966314
2023-09-13T03:44:58.757Z,5966313
2023-09-13T03:43:49.783Z,5966312
2023-09-13T03:41:19.923Z,5966308
2023-09-13T03:39:26.52Z,5966311
2023-09-13T03:35:04.303Z,5966306
2023-09-13T03:34:46.757Z,5966307
2023-09-13T03:27:22.877Z,5966304
2023-09-13T03:27:21.997Z,5966305
2023-09-13T03:26:36.107Z,5966081
2023-09-13T03:23:17.367Z,5966303
2023-09-13T03:18:01.197Z,5966302
2023-09-13T03:13:39.517Z,5966300
2023-09-13T03:11:08.937Z,5966299
2023-09-13T03:03:56.793Z,5966296
2023-09-13T02:54:21.337Z,5966293
2023-09-13T02:54:12.303Z,5966294
2023-09-13T02:51:19.363Z,5966292
2023-09-13T02:47:32.973Z,5966291
2023-09-13T02:43:32.883Z,5966289
2023-09-13T02:43:01.81Z,5966287
2023-09-13T02:40:08.477Z,5966288
2023-09-13T02:28:27.44Z,5966285
2023-09-13T02:26:55.687Z,5966284
2023-09-13T02:23:51.257Z,5966283
2023-09-13T02:16:39.19Z,5966282
2023-09-12T14:59:43.73Z,5745106
2023-09-12T14:37:41.657Z,5868591
2023-09-12T13:06:01.993Z,5741596
2023-09-12T04:38:36.053Z,5965804
2023-09-12T04:13:42.657Z,5965802
