DATEADDED,ID
2023-09-16T20:44:24.663Z,5146425
2023-09-15T21:47:35.523Z,5967959
2023-09-15T21:10:09.983Z,5967971
2023-09-15T21:09:40.45Z,5884597
2023-09-15T21:08:18.943Z,5967952
2023-09-15T21:05:02.747Z,5838900
2023-09-15T20:49:12.093Z,5967954
2023-09-15T20:40:31.537Z,5181329
2023-09-15T20:40:11.33Z,5160946
2023-09-15T20:33:31.767Z,5166621
2023-09-15T20:24:38.227Z,5673491
2023-09-15T20:18:40.473Z,5795435
2023-09-15T20:13:26.763Z,5268621
2023-09-15T20:13:15.14Z,5230623
2023-09-15T20:04:34.467Z,5729793
2023-09-15T20:00:07.907Z,5810891
2023-09-15T19:57:04.067Z,5967938
2023-09-15T19:56:31.523Z,5576258
2023-09-15T19:53:23.283Z,5591318
2023-09-15T19:52:56.367Z,5967939
2023-09-15T19:51:40.17Z,5967274
2023-09-15T19:51:03.993Z,5967715
2023-09-15T19:50:12.067Z,5967946
2023-09-15T19:46:24.58Z,5967941
2023-09-15T19:44:47.48Z,5557523
2023-09-15T19:40:19.73Z,5120363
2023-09-15T19:40:07.193Z,5653356
2023-09-15T19:38:58.203Z,5967933
2023-09-15T19:31:52.747Z,5967929
2023-09-15T19:26:44.817Z,5135265
2023-09-15T19:25:01.79Z,5840621
2023-09-15T19:18:48.36Z,5967905
2023-09-15T19:18:11.183Z,5967924
2023-09-15T19:12:18.95Z,5844178
2023-09-15T19:11:46.567Z,5131855
2023-09-15T19:05:02.19Z,5141539
2023-09-15T19:04:34.743Z,5650983
2023-09-15T19:04:23.773Z,5109527
2023-09-15T19:04:13.507Z,5967900
2023-09-15T19:03:41.357Z,5967913
2023-09-15T18:58:48.447Z,5232608
2023-09-15T18:54:46.96Z,5710839
2023-09-15T18:51:25.437Z,5930544
2023-09-15T18:51:11.937Z,5967906
2023-09-15T18:49:04.547Z,5631344
2023-09-15T18:43:35.093Z,5406447
2023-09-15T18:43:09.143Z,5967897
2023-09-15T18:35:05.607Z,5967865
2023-09-15T18:34:44.98Z,5659414
2023-09-15T18:34:23.833Z,5947844
2023-09-15T18:31:44.55Z,5967889
2023-09-15T18:30:33.117Z,5715513
2023-09-15T18:27:53.92Z,5967881
2023-09-15T18:27:42.957Z,5862069
2023-09-15T18:26:45.52Z,5695447
2023-09-15T18:23:32.487Z,5967878
2023-09-15T18:23:08.573Z,5967884
2023-09-15T18:21:45.127Z,5310804
2023-09-15T18:19:19.093Z,5186511
2023-09-15T18:19:04.16Z,5927763
2023-09-15T18:16:44.41Z,5967847
2023-09-15T18:16:20.797Z,5967874
2023-09-15T18:11:48.457Z,5967854
2023-09-15T18:08:46.92Z,5967868
2023-09-15T18:07:44.447Z,5629057
2023-09-15T18:03:32.587Z,5967863
2023-09-15T18:03:13.233Z,5719682
2023-09-15T17:59:11.553Z,5879474
